sample	gene	n_cpgs	methylated_count	total_count	weighted_average
sc3	g19625	8	8	126	6.3492
sc3	g19626	8	18	144	12.5
sc3	g19627	63	263	1022	25.7339
sc3	g19634	36	22	420	5.2381
sc3	g19638	6	0	66	0.0
sc3	g19639	85	0	1712	0.0
sc3	g19641	48	1	817	0.1224
sc3	g19644	12	1	249	0.4016
sc3	g19647	13	0	186	0.0
sc3	g19648	32	0	495	0.0
sc3	g19649	6	0	129	0.0
sc3	g19650	15	0	267	0.0
sc3	g19651	2	0	25	0.0
sc3	g19654	95	52	2747	1.893
sc3	g19655	4	82	86	95.3488
sc3	g19659	2	12	21	57.1429
sc3	g19662	9	0	198	0.0
sc3	g19667	10	7	164	4.2683
sc3	g19668	4	4	63	6.3492
sc3	g19672	3	0	32	0.0
sc3	g19673	2	0	32	0.0
sc3	g19679	2	45	46	97.8261
sc3	g19680	7	0	164	0.0
sc3	g19681	4	0	97	0.0
sc3	g19682	30	0	554	0.0
sc3	g19688	1	0	21	0.0
sc3	g19689	3	0	50	0.0
sc3	g19690	3	1	64	1.5625
sc3	g19692	43	1	1189	0.0841
sc3	g19693	1	0	21	0.0
sc3	g19694	41	1	2117	0.0472
sc3	g19696	24	0	634	0.0
sc3	g19699	6	0	92	0.0
sc3	g19700	113	1	2008	0.0498
sc3	g19701	15	98	267	36.7041
sc3	g19702	24	1	379	0.2639
sc3	g19703	34	1	624	0.1603
sc3	g19707	41	0	733	0.0
sc3	g19708	6	0	91	0.0
sc3	g19709	7	0	112	0.0
sc3	g19711	1	11	11	100.0
sc3	g19714	9	228	252	90.4762
sc3	g19715	24	50	612	8.1699
sc3	g19716	2	0	20	0.0
sc3	g19723	12	0	240	0.0
sc3	g19724	188	2	5024	0.0398
sc3	g19726	6	0	106	0.0
sc3	g19728	10	142	144	98.6111
sc3	g19733	39	1	835	0.1198
sc3	g19735	9	0	110	0.0
sc3	g19736	4	0	53	0.0
sc3	g19737	40	0	1218	0.0
sc3	g19738	2	1	35	2.8571
sc3	g19739	4	0	108	0.0
sc3	g19740	11	0	306	0.0
sc3	g19741	1	0	24	0.0
sc3	g19742	27	1	607	0.1647
sc3	g19745	12	0	244	0.0
sc3	g19746	2	0	47	0.0
sc3	g19747	3	40	40	100.0
sc3	g19748	3	51	51	100.0
sc3	g19750	6	0	75	0.0
sc3	g19751	58	0	855	0.0
sc3	g19752	16	13	264	4.9242
sc3	g19753	3	40	42	95.2381
sc3	g19754	2	41	41	100.0
sc3	g19755	48	0	743	0.0
sc3	g19758	178	504	5590	9.0161
sc3	g19759	38	0	587	0.0
sc3	g19764	20	0	247	0.0
sc3	g19766	17	0	487	0.0
sc3	g19767	82	3	2435	0.1232
sc3	g19768	65	0	1001	0.0
sc3	g19771	39	3	641	0.468
sc3	g19774	2	0	35	0.0
sc3	g19775	146	0	2952	0.0
sc3	g19783	12	28	204	13.7255
sc3	g19784	25	207	550	37.6364
sc3	g19785	22	0	227	0.0
sc3	g19786	63	0	1509	0.0
sc3	g19787	30	0	1032	0.0
sc3	g19788	6	0	200	0.0
sc3	g19790	2	0	32	0.0
sc3	g19799	24	0	432	0.0
sc3	g19800	14	0	232	0.0
sc3	g19801	12	101	312	32.3718
sc3	g19803	5	60	131	45.8015
sc3	g19805	26	1	384	0.2604
sc3	g19808	8	0	211	0.0
sc3	g19809	1	16	22	72.7273
sc3	g19810	1	0	26	0.0
sc3	g19811	106	0	2392	0.0
sc3	g19812	1	28	28	100.0
sc3	g19814	27	0	475	0.0
sc3	g19818	14	0	255	0.0
sc3	g19820	28	0	655	0.0
sc3	g19821	4	0	47	0.0
sc3	g19822	4	0	40	0.0
sc3	g19825	6	145	147	98.6395
sc3	g19826	13	0	336	0.0
sc3	g19827	16	0	336	0.0
sc3	g19828	53	1	1113	0.0898
sc3	g19829	15	0	395	0.0
